Admin2,Province_State,Lat,Long_,Combined_Key,Population,confirmed_3_18,confirmed_3_19,confirmed_3_20,confirmed_3_21,confirmed_3_22,confirmed_3_23,confirmed_3_24,confirmed_3_25,confirmed_3_26,confirmed_3_27,confirmed_3_28,confirmed_3_29,confirmed_3_30,confirmed_3_31,confirmed_4_1,confirmed_4_2,confirmed_4_3,confirmed_4_4,confirmed_4_5,confirmed_4_6,confirmed_4_7,confirmed_4_8,confirmed_4_9,confirmed_4_10,confirmed_4_11,confirmed_4_12,confirmed_4_13,confirmed_4_14,confirmed_4_15,confirmed_4_16,confirmed_4_17,confirmed_4_18,confirmed_4_19,confirmed_4_20,confirmed_4_21,confirmed_4_22,confirmed_4_23,confirmed_4_24,confirmed_4_25,confirmed_4_26,confirmed_4_27,confirmed_4_28,confirmed_4_29,confirmed_4_30,deaths_3_18,deaths_3_19,deaths_3_20,deaths_3_21,deaths_3_22,deaths_3_23,deaths_3_24,deaths_3_25,deaths_3_26,deaths_3_27,deaths_3_28,deaths_3_29,deaths_3_30,deaths_3_31,deaths_4_1,deaths_4_2,deaths_4_3,deaths_4_4,deaths_4_5,deaths_4_6,deaths_4_7,deaths_4_8,deaths_4_9,deaths_4_10,deaths_4_11,deaths_4_12,deaths_4_13,deaths_4_14,deaths_4_15,deaths_4_16,deaths_4_17,deaths_4_18,deaths_4_19,deaths_4_20,deaths_4_21,deaths_4_22,deaths_4_23,deaths_4_24,deaths_4_25,deaths_4_26,deaths_4_27,deaths_4_28,deaths_4_29,deaths_4_30
Autauga,Alabama,32.53952745,-86.64408227,"Autauga, Alabama, US",55869,0,0,0,0,0,0,1,5,6,6,6,6,8,8,10,12,12,12,12,12,12,12,17,18,19,19,19,23,24,24,24,25,26,28,30,32,33,36,36,36,37,39,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,2,2,2,3,4,4,4
Baldwin,Alabama,30.72774991,-87.72207058,"Baldwin, Alabama, US",223234,1,1,2,2,2,3,5,5,6,6,18,19,22,23,26,29,31,34,39,43,47,54,63,64,70,75,82,93,100,104,106,110,116,120,126,134,143,148,155,161,167,172,174,180,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3
Barbour,Alabama,31.868263,-85.3871286,"Barbour, Alabama, US",24686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,4,4,4,8,9,10,10,10,11,13,14,15,18,20,22,28,29,31,33,34,34,35,38,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Bibb,Alabama,32.99642064,-87.1251146,"Bibb, Alabama, US",22394,0,0,0,0,0,0,0,0,0,2,2,2,3,3,3,4,4,4,7,7,8,9,11,11,13,16,17,18,19,23,23,26,26,30,30,32,32,33,34,37,40,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blount,Alabama,33.98210918,-86.56790593,"Blount, Alabama, US",57826,0,0,0,0,0,0,0,3,4,6,6,7,7,7,7,9,11,12,13,13,13,13,15,15,15,17,18,19,21,22,22,24,25,27,31,33,35,36,36,38,38,38,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bullock,Alabama,32.10030533,-85.71265535,"Bullock, Alabama, US",10101,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,6,8,8,8,8,9,9,11,11,11,12,12,12,12,12,12,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butler,Alabama,31.75300095,-86.68057478,"Butler, Alabama, US",19448,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,6,7,8,8,11,11,13,14,15,15,15,17,19,21,28,32,34,48,53,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Calhoun,Alabama,33.77483727,-85.82630386,"Calhoun, Alabama, US",113605,1,1,1,1,1,2,2,2,2,4,4,4,9,10,11,12,22,23,26,40,51,54,56,56,59,63,64,65,66,68,68,71,78,82,85,87,89,89,90,91,91,94,95,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,3,3,3,3,3,3,3,3,3
Chambers,Alabama,32.91360079,-85.39072749,"Chambers, Alabama, US",33254,0,1,1,1,2,2,6,9,13,15,22,29,39,40,51,75,87,91,94,102,112,145,170,178,189,206,215,219,229,234,239,242,247,257,259,266,273,277,279,281,284,286,288,292,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,5,6,6,7,8,8,8,8,8,8,8,10,10,11,11,11,13,13,16,16,16,17,17,18,18,19,19,21
Cherokee,Alabama,34.17805983,-85.60638968,"Cherokee, Alabama, US",26196,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,4,5,5,5,5,7,7,7,7,9,9,9,10,11,11,12,12,13,14,14,14,14,14,15,15,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chilton,Alabama,32.85044126,-86.7173256,"Chilton, Alabama, US",44428,0,0,0,0,0,0,0,4,4,6,7,8,10,11,13,14,15,15,18,20,21,23,26,29,31,31,35,35,38,38,39,41,45,45,45,47,49,51,52,53,53,54,54,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Choctaw,Alabama,32.02227341,-88.2656443,"Choctaw, Alabama, US",12589,0,0,0,0,0,0,0,0,1,1,1,1,2,4,5,5,5,5,6,8,8,8,8,10,11,12,12,14,15,15,15,16,16,18,18,21,23,23,25,30,36,37,37,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clarke,Alabama,31.68099859,-87.83548597,"Clarke, Alabama, US",23622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,7,9,9,10,10,13,13,15,18,18,18,19,21,21,21,21,22,22,22,23,23,24,25,26,27,30,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Clay,Alabama,33.26984193,-85.85836077,"Clay, Alabama, US",13235,0,0,0,0,0,0,0,1,1,1,2,2,2,2,3,7,8,9,9,9,9,11,11,11,12,14,14,14,14,14,14,16,17,18,18,18,18,18,18,18,18,18,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Cleburne,Alabama,33.67679204,-85.52005899,"Cleburne, Alabama, US",14910,0,0,0,0,0,0,0,1,1,3,4,5,5,5,6,6,7,7,7,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Coffee,Alabama,31.39932826,-85.98901039,"Coffee, Alabama, US",52342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,8,8,9,9,14,15,16,22,33,37,37,44,52,52,59,63,67,72,77,81,87,88,95,98,104,106,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
Colbert,Alabama,34.69847452,-87.80168544,"Colbert, Alabama, US",55241,0,0,0,0,0,0,0,1,1,1,2,2,4,4,4,5,5,6,7,8,11,12,13,13,13,14,15,15,16,17,17,19,20,20,20,24,26,26,26,26,26,30,32,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
Conecuh,Alabama,31.43401703,-86.99320044,"Conecuh, Alabama, US",12067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,5,5,5,7,7,8,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coosa,Alabama,32.93690146,-86.24847739,"Coosa, Alabama, US",10663,0,0,0,0,0,0,0,1,2,2,2,3,3,3,3,5,5,5,6,7,8,8,9,9,10,17,19,19,20,21,21,25,25,25,26,26,28,29,29,29,29,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Covington,Alabama,31.2477854,-86.45050893,"Covington, Alabama, US",37049,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,3,4,5,5,6,7,11,11,11,12,14,14,18,20,23,23,25,26,29,31,32,34,36,36,36,37,38,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1
Crenshaw,Alabama,31.72941803,-86.31593104,"Crenshaw, Alabama, US",13772,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,4,4,4,5,5,5,5,5,6,8,8,10,12,12,13,14,16,17,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cullman,Alabama,34.13020303,-86.86888037,"Cullman, Alabama, US",83768,0,1,2,2,3,3,4,6,6,7,7,7,8,9,9,9,15,15,15,20,22,22,30,30,31,40,40,41,42,44,44,45,45,46,48,48,48,51,53,54,56,56,58,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Dale,Alabama,31.43037123,-85.61095742,"Dale, Alabama, US",49172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,5,5,6,8,8,8,12,13,13,13,14,14,18,20,20,20,21,22,22,24,24,24,24,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dallas,Alabama,32.32688101,-87.1086671,"Dallas, Alabama, US",37196,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,4,7,7,7,7,7,7,8,9,9,12,12,15,16,16,16,16,19,21,24,25,26,27,27,28,31,31,31,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3
DeKalb,Alabama,34.45946862,-85.80782906,"DeKalb, Alabama, US",71513,0,0,0,0,0,0,0,1,1,4,4,4,4,4,6,8,10,13,14,14,14,14,16,18,21,27,29,31,33,34,36,41,44,49,51,58,59,59,61,67,70,71,71,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Elmore,Alabama,32.59785413,-86.14415284,"Elmore, Alabama, US",81209,5,5,6,6,6,7,8,9,9,11,12,12,12,12,15,18,19,19,19,20,22,24,29,31,31,34,36,42,48,53,53,57,64,68,71,73,74,75,77,79,79,82,88,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2
Escambia,Alabama,31.1256789,-87.15918694,"Escambia, Alabama, US",36633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,4,4,5,7,7,9,9,11,12,12,12,15,15,16,17,20,21,21,23,24,25,25,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Etowah,Alabama,34.04567266,-86.04051873,"Etowah, Alabama, US",102268,0,0,0,0,0,0,0,3,4,5,7,7,7,9,11,15,21,27,36,42,43,47,60,64,73,77,78,78,84,85,86,91,95,100,107,113,117,118,120,124,126,129,134,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,3,4,4,4,5,6,7,7,7,7,8,8,7,7,7,8,8,8,8,8,8,8,8,8,9
Fayette,Alabama,33.72076938,-87.73886638,"Fayette, Alabama, US",16302,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,3,4,4,5,5,6,6,6,6,6,6,6,6,6,7,7,7,7,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Franklin,Alabama,34.44235334,-87.84289505,"Franklin, Alabama, US",31362,0,0,0,0,0,1,1,2,3,5,5,5,5,5,5,6,7,8,8,9,9,10,11,11,11,13,13,16,20,20,20,20,20,22,22,25,28,33,39,42,44,45,47,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Geneva,Alabama,31.09389027,-85.83572839,"Geneva, Alabama, US",26271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,4,4,4,4,5,6,6,7,8,8,8,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greene,Alabama,32.85504247,-87.95684022,"Greene, Alabama, US",8111,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,3,3,4,6,8,10,11,11,12,15,17,17,18,21,22,27,28,31,31,38,41,44,45,47,48,48,51,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Hale,Alabama,32.76039258,-87.63284988,"Hale, Alabama, US",14651,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,3,5,7,7,7,7,11,15,15,17,22,23,23,24,29,31,33,35,39,41,41,43,43,43,45,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2
Henry,Alabama,31.51148016,-85.24267944,"Henry, Alabama, US",17205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,4,5,8,10,10,11,14,15,16,16,17,18,18,19,21,21,22,22,22,22,22,22,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Houston,Alabama,31.15197924,-85.29939599,"Houston, Alabama, US",105882,0,0,0,0,0,1,1,2,3,4,5,8,9,10,11,11,14,16,22,25,26,29,35,36,38,47,48,57,62,64,66,68,73,78,78,80,83,83,83,84,86,91,92,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,2,2,2,3,3,3,3,3,3,3,3,3,4
Jackson,Alabama,34.78144169,-85.99750489,"Jackson, Alabama, US",51626,0,0,1,1,1,1,2,2,4,5,5,5,7,10,10,14,14,14,16,19,20,22,22,22,22,25,26,29,31,32,32,36,36,36,40,42,43,46,46,46,46,47,48,48,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Jefferson,Alabama,33.55554728,-86.895063,"Jefferson, Alabama, US",658573,28,39,49,68,78,85,100,141,175,183,217,248,261,286,310,339,375,403,420,441,471,499,530,565,602,605,624,628,643,649,658,688,697,710,720,770,795,816,843,853,859,881,893,911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,9,9,10,12,13,14,14,15,15,15,16,17,22,24,25,25,26,26,31,32,33,33,33,36,41,43,46
Lamar,Alabama,33.77995024,-88.09668032,"Lamar, Alabama, US",13805,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,9,9,9,9,9,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lauderdale,Alabama,34.90171875,-87.65624729,"Lauderdale, Alabama, US",92729,0,0,1,2,2,3,6,7,9,11,13,13,13,13,14,14,15,16,16,16,18,19,20,20,21,21,22,22,22,22,22,22,22,24,24,24,24,25,27,31,31,31,33,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,2,2,2,2,2
Lawrence,Alabama,34.52041498,-87.31069453,"Lawrence, Alabama, US",32924,0,0,0,0,0,0,0,1,3,5,5,5,5,5,5,5,6,6,8,10,10,10,10,10,10,10,10,10,10,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee,Alabama,32.60154883,-85.35132246,"Lee, Alabama, US",164542,7,9,11,12,16,20,27,45,49,55,63,64,80,83,93,103,107,112,118,130,146,199,213,221,227,244,254,270,289,297,301,311,313,322,331,341,348,358,362,368,371,378,385,392,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,3,3,3,5,5,5,6,8,8,8,11,12,12,12,14,14,15,19,20,21,22,22,24,24,25,28,29
Limestone,Alabama,34.81185586,-86.98310072,"Limestone, Alabama, US",98915,1,1,1,1,1,2,6,10,12,14,14,14,17,19,19,23,27,27,29,30,30,31,34,35,35,36,36,37,38,38,38,40,40,41,41,41,42,44,44,44,45,46,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lowndes,Alabama,32.1597283,-86.65158371,"Lowndes, Alabama, US",9726,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,3,4,5,7,10,11,11,13,13,15,18,23,25,25,27,30,31,33,33,34,36,38,38,39,54,60,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Macon,Alabama,32.38759944,-85.69267724,"Macon, Alabama, US",18068,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,5,6,6,6,6,7,7,9,9,12,13,16,18,18,23,23,23,24,25,27,28,28,29,31,34,34,35,36,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Madison,Alabama,34.76327133,-86.55069633,"Madison, Alabama, US",372909,2,5,7,13,22,27,28,46,56,74,85,94,112,115,121,132,138,141,149,152,160,172,183,186,194,195,197,201,203,206,206,206,209,212,213,214,215,215,223,225,229,235,236,236,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Marengo,Alabama,32.24767634,-87.78796182,"Marengo, Alabama, US",18863,0,0,0,0,0,0,0,1,1,2,3,3,3,3,4,6,7,7,12,12,12,12,12,13,16,18,20,21,22,22,23,23,24,27,30,35,36,36,37,38,41,41,43,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3
Marion,Alabama,34.13697363,-87.88704173,"Marion, Alabama, US",29709,0,0,1,1,1,1,1,5,8,8,10,11,11,12,13,13,18,21,22,22,23,27,37,43,46,57,60,61,61,63,64,65,66,68,69,69,69,71,75,76,77,78,78,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,6,6,6,6
Marshall,Alabama,34.36975964,-86.30486727,"Marshall, Alabama, US",96774,0,0,0,0,0,0,0,3,3,4,5,5,5,5,5,7,16,17,27,35,41,47,67,74,86,101,105,108,111,120,127,143,157,170,193,242,260,268,279,307,309,315,319,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,4,4,4,3,5,4,4,4,4,5,5,6,6,6
Mobile,Alabama,30.78472347,-88.20842409,"Mobile, Alabama, US",413210,0,1,2,2,3,4,9,12,19,24,36,41,44,51,61,72,107,120,127,149,216,278,347,376,418,441,481,497,549,581,614,617,644,666,720,758,793,829,883,908,953,992,1040,1074,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,5,5,6,6,8,8,9,11,15,15,17,17,17,22,24,25,28,33,37,39,39,40,40,41,43,46,51,55
Monroe,Alabama,31.56729412,-87.36995001,"Monroe, Alabama, US",20733,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,4,6,6,6,6,6,7,7,7,7,7,8,8,8,8,8,9,9,10,10,10,10,11,11,12,12,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Montgomery,Alabama,32.2206831,-86.20969272,"Montgomery, Alabama, US",226486,2,3,3,3,3,8,9,16,18,19,19,23,30,32,36,47,58,63,69,70,75,82,91,97,107,120,150,165,190,199,200,213,223,228,240,247,257,270,277,282,286,302,314,336,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,4,4,4,5,5,5,5,5,5,3,3,3,3,3,4,4,4,5,5,6,6
Morgan,Alabama,34.45500589,-86.85475946,"Morgan, Alabama, US",119679,0,0,0,0,0,2,3,7,11,13,18,18,19,19,19,23,24,24,28,30,31,33,36,37,37,40,41,42,42,43,44,44,46,47,49,50,51,56,58,65,66,68,68,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Out of AL,Alabama,0,0,"Out of AL, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perry,Alabama,32.64048341,-87.29770589,"Perry, Alabama, US",8923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,4,6,6,7,7,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pickens,Alabama,33.28094866,-88.08818103,"Pickens, Alabama, US",19930,0,0,0,0,0,0,1,2,2,2,3,3,4,5,5,9,11,12,12,13,14,15,19,20,21,22,23,24,28,28,28,31,38,40,43,44,45,47,48,50,50,50,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Pike,Alabama,31.80396383,-85.9408295,"Pike, Alabama, US",33114,0,0,0,0,0,0,1,1,2,4,4,4,4,4,6,6,9,9,13,13,13,15,17,17,17,19,20,21,25,26,27,33,36,39,43,50,55,57,57,61,64,64,66,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Randolph,Alabama,33.29526734,-85.45708831,"Randolph, Alabama, US",22722,0,0,0,0,0,0,0,0,0,1,2,2,2,2,5,7,9,10,10,11,12,14,19,23,27,38,41,47,47,49,52,54,56,59,61,62,62,64,64,64,65,66,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4
Russell,Alabama,32.28725256,-85.18415324,"Russell, Alabama, US",57961,0,0,0,0,1,1,1,2,3,3,3,3,3,3,3,4,5,7,10,10,13,14,18,20,22,25,28,30,31,36,36,42,44,45,45,48,51,51,51,51,51,54,54,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shelby,Alabama,33.26879845,-86.66232561,"Shelby, Alabama, US",217702,6,11,15,20,21,28,41,56,62,80,81,84,97,97,101,113,131,139,156,162,170,176,193,200,205,228,239,246,250,252,255,266,274,275,277,280,284,297,299,311,317,320,321,321,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,4,5,5,5,5,5,5,5,5,5,5,7,7,7,8,7,7,6,6,6,7,7,7,9,9,10,11,12
St. Clair,Alabama,33.71902176,-86.31029372,"St. Clair, Alabama, US",89512,2,2,2,2,4,5,7,10,11,14,15,20,22,23,25,28,32,32,35,38,38,43,45,45,46,49,50,53,55,55,56,59,61,62,64,67,68,70,70,72,74,76,76,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sumter,Alabama,32.59117397,-88.19916205,"Sumter, Alabama, US",12427,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,6,6,7,9,15,16,16,17,18,20,22,24,28,29,30,33,36,40,42,44,45,49,49,51,53,53,54,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2
